Code,Merchant Category Name
7251,"Shoe repair shops, shoe shine parlours and hat cleaning shops"
7251,"Shoe repair shops, shoe shine parlours and hat cleaning shops"
7261,Funeral services and crematoriums
7273,Dating and escort services
7276,Tax preparation services
7277,"Counselling services — debt, marriage and personal"
7278,Buying and shopping services and clubs
7278,Buying and shopping services and clubs
7280,Hospital Patient Personal Fund
7295,Babysitting Services
7296,"Clothing rentals — costumes, uniforms and formal wear"
7297,Massage parlours
7298,Health and beauty spas
7299,"Misc. Personal Services, Not Elsewhere Classified"
7311,Advertising services
7321,Consumer credit reporting agencies
7322,Debt collection agencies
7332,BLU
7333,"Commercial photography, art and graphics"
7338,"Quick copy, reproduction and blueprinting services"
7339,Stenographic and secretarial support services
7341,Window Cleaning Services
7342,Exterminating and disinfecting services
7349,"Cleaning, maintenance and janitorial services"
7361,Employment agencies and temporary help services
7372,"Computer programming, data processing and integrated systems design"
7375,Information retrieval services
7379,Computer maintenance and repair services — not elsewhere classified
7379,Computer maintenance and repair services — not elsewhere classified
7389,Computer Maintenance & Repair
7389,Computer Maintenance & Repair
7392,"Management, consulting and public relations services"
7392,"Management, consulting and public relations services"
7393,"Detective agencies, protective agencies and security services, including"
7394,"Equipment, tool, furniture and appliance rentals and leasing"
7395,Photofinishing laboratories and photo developing
7399,Business services — not elsewhere classified
7511,Truck Stop
7512,Automobile rentals
7513,Truck and utility trailer rentals
7519,Motor home and recreational vehicle rentals
7523,Parking lots and garages
7531,Automotive body repair shops
7531,Automotive body repair shops
7534,Tyre rethreading and repair shops
7534,Tyre retreading and repair shops
7535,Automotive paint shops
7538,Automotive service shops (non-dealer)
7542,Car washes
7549,Towing services
7622,Electronics repair shops
7622,Electronics repair shops
7623,Air conditioning and refrigeration repair shops
7623,Air conditioning and refrigeration repair shops
7629,Electrical and small appliance repair shops
7629,Electrical and small appliance repair shops
7631,"Watch, clock and jewellery repair shops"
7631,"Watch, clock and jewellery repair shops"
7641,"Furniture reupholstery, repair and refinishing"
7641,"Furniture reupholstery, repair and refinishing"
7692,Welding services
7699,Miscellaneous Repair Shops and Related Services
7829,Motion picture and video tape production and distribution
7832,Motion Picture theatres
7833,Motion Picture Theatres
7841,Video tape rentals
7911,"Dance halls, studios and schools"
7922,Theatrical producers (except motion pictures) and ticket agencies
7929,"Bands, orchestras and miscellaneous entertainers — not elsewhere"
7932,Billiard and pool establishments
7933,Bowling alleys
7941,"Commercial sports, professional sports clubs, athletic fields and sports"
7991,Tourist attractions and exhibits
7992,Public golf courses
7993,Video amusement game supplies
7994,Video game arcades and establishments
7995,"Betting, including lottery tickets, casino gaming chips, off-track betting"
7996,"Amusement parks, circuses, carnivals and fortune tellers"
7997,"Membership clubs (sports, recreation, athletic), country clubs and"
7998,"Aquariums, seaquariums and dolphinariums"
7999,Recreation services — not elsewhere classified
8011,Doctors and physicians — not elsewhere classified
8021,Dentists and orthodontists
8031,Osteopaths
8041,Chiropractors
8042,Optometrists and ophthalmologists
8043,"Opticians, optical goods and eyeglasses"
8044,Optical Goods and Eyeglasses
8049,Podiatrists and chiropodists
8050,Nursing and personal care facilities
8062,Hospitals
8071,Medical and dental laboratories
8099,Medical services and health practitioners — not elsewhere classified
8111,Legal services and attorneys
8211,Elementary and secondary schools
8220,"Colleges, universities, professional schools and junior colleges"
8241,Correspondence schools
8244,Business and secretarial schools
8249,Trade and vocational schools
8299,Schools and educational services — not elsewhere classified
8351,Child care services
8398,Charitable and social service organizations
8641,"Civic, social and fraternal associations"
8651,Political organizations
8661,Religious organizations
8675,Automobile associations
8699,Membership organizations — not elsewhere classified
8734,Testing laboratories (non-medical)
8911,"Architectural, engineering and surveying services"
8931,"Accounting, auditing and bookkeeping services"
8999,Professional services — not elsewhere classified
9211,"Court costs, including alimony and child support"
9222,Fines
9223,Bail and Bond Payments
9311,Tax payments
9399,Government services — not elsewhere classified
9400,Government Services
9401,Food Stamps
9401,Food Stamps
9402,Postal services — government only
9405,U.S. Federal Government Agencies or Departments
9411,Government Loan Payments
9700,Automated Referral Service
9701,Visa Credential Service
9702,EMERGENCY SERVICES
9751,U.K. Supermarkets - Electronic Hot File
9752,U.K. Petrol Stations - Electronic Hot File
9950,Intra-Company Purchases
